"perceiver.id" "target.id" "liking_a" "liking_b" "metaliking_a" "metaliking_b" "group.id"
"1213" 25 23 3 3 2 2 3
"1214" 26 23 2 2 3 3 3
"1215" 27 23 4 3 3 2 3
"1216" 28 23 3 3 2 3 3
"1217" 29 23 3 3 3 3 3
"1218" 30 23 2 2 3 3 3
"1263" 21 24 2 2 2 2 3
"1264" 22 24 3 3 3 3 3
"1265" 23 24 3 3 4 4 3
"1266" 24 24 NA NA NA NA 3
"1267" 25 24 2 3 3 3 3
"1268" 26 24 3 4 4 4 3
"1269" 27 24 4 3 3 2 3
"1270" 28 24 3 3 3 3 3
"1271" 29 24 2 2 2 2 3
"1272" 30 24 2 1 3 3 3
"1317" 21 25 2 2 3 3 3
"1318" 22 25 4 4 4 3 3
"1319" 23 25 4 3 4 3 3
"1320" 24 25 4 4 3 2 3
"1321" 25 25 NA NA NA NA 3
"1322" 26 25 2 2 2 2 3
"1323" 27 25 4 3 3 3 3
"1324" 28 25 4 4 3 4 3
"1325" 29 25 3 3 3 3 3
"1326" 30 25 2 2 3 2 3
"1371" 21 26 2 2 3 2 3
"1372" 22 26 2 2 3 3 3
"1373" 23 26 4 3 2 2 3
"1374" 24 26 4 4 3 4 3
"1375" 25 26 1 0 3 2 3
"1376" 26 26 NA NA NA NA 3
"1377" 27 26 3 2 2 2 3
"1378" 28 26 4 3 3 3 3
"1379" 29 26 4 3 2 3 3
"1380" 30 26 1 1 3 2 3
"1425" 21 27 3 3 3 3 3
"1426" 22 27 2 2 3 2 3
"1427" 23 27 3 3 0 0 3
"1428" 24 27 4 4 3 2 3
"1429" 25 27 4 3 3 3 3
"1430" 26 27 3 3 4 4 3
"1431" 27 27 NA NA NA NA 3
"1432" 28 27 4 4 3 4 3
"1433" 29 27 5 4 4 3 3
"1434" 30 27 3 4 3 3 3
"1479" 21 28 4 4 3 2 3
"1480" 22 28 4 4 4 4 3
"1481" 23 28 2 2 1 1 3
"1482" 24 28 3 2 3 2 3
"1483" 25 28 3 2 2 1 3
"1484" 26 28 5 5 3 3 3
"1485" 27 28 4 4 4 3 3
"1486" 28 28 NA NA NA NA 3
"1487" 29 28 4 4 4 3 3
"1488" 30 28 4 4 3 4 3
"1533" 21 29 3 2 2 2 3
"1534" 22 29 3 3 3 3 3
"1535" 23 29 4 4 3 3 3
"1536" 24 29 5 5 3 2 3
"1537" 25 29 3 3 2 1 3
"1538" 26 29 4 4 3 3 3
"1539" 27 29 4 4 3 3 3
"1540" 28 29 4 4 4 4 3
"1541" 29 29 NA NA NA NA 3
"1542" 30 29 4 3 3 2 3
"1587" 21 30 3 2 3 2 3
"1588" 22 30 2 2 3 3 3
"1589" 23 30 1 1 2 2 3
"1590" 24 30 3 2 2 2 3
"1591" 25 30 3 3 3 2 3
"1592" 26 30 2 2 2 3 3
"1593" 27 30 3 3 3 2 3
"1594" 28 30 4 4 4 4 3
"1595" 29 30 4 4 3 3 3
"1596" 30 30 NA NA NA NA 3
"1651" 31 31 NA NA NA NA 4
"1652" 32 31 4 3 4 3 4
"1653" 33 31 3 3 3 3 4
"1654" 34 31 3 3 3 3 4
"1655" 35 31 2 2 3 3 4
"1656" 36 31 1 0 1 1 4
"1657" 37 31 0 0 0 0 4
"1658" 38 31 4 4 3 3 4
"1659" 39 31 4 3 3 3 4
"1660" 40 31 4 4 4 4 4
"1705" 31 32 4 3 3 4 4
"1706" 32 32 NA NA NA NA 4
"1707" 33 32 4 4 3 3 4
"1708" 34 32 4 4 3 3 4
"1709" 35 32 3 3 3 3 4
"1710" 36 32 3 3 2 1 4
"1711" 37 32 2 2 2 2 4
"1712" 38 32 4 4 4 4 4
"1713" 39 32 3 3 3 3 4
"1714" 40 32 3 3 3 3 4
"1759" 31 33 3 2 2 1 4
"1760" 32 33 3 2 2 2 4
"1761" 33 33 NA NA NA NA 4
"1762" 34 33 3 3 3 3 4
"1763" 35 33 4 4 4 4 4
"1764" 36 33 2 1 2 1 4
"1765" 37 33 1 1 1 1 4
"1766" 38 33 4 4 4 4 4
"1767" 39 33 3 3 3 3 4
"1768" 40 33 3 3 4 4 4
"1813" 31 34 4 3 3 3 4
"1814" 32 34 3 3 3 3 4
"1815" 33 34 3 3 3 3 4
"1816" 34 34 NA NA NA NA 4
"1817" 35 34 4 4 3 3 4
"1818" 36 34 2 2 2 1 4
"1819" 37 34 2 2 2 2 4
"1820" 38 34 3 3 3 3 4
"1821" 39 34 4 3 3 3 4
"1822" 40 34 4 4 4 4 4
"1867" 31 35 1 1 3 2 4
"1868" 32 35 2 2 1 1 4
"1869" 33 35 3 4 3 3 4
"1870" 34 35 3 3 3 3 4
"1871" 35 35 NA NA NA NA 4
"1872" 36 35 5 4 4 4 4
"1873" 37 35 5 5 5 5 4
"1874" 38 35 4 4 4 4 4
"1875" 39 35 4 3 3 3 4
"1876" 40 35 3 3 4 4 4
"1921" 31 36 2 1 1 1 4
"1922" 32 36 2 1 2 1 4
"1923" 33 36 4 3 3 3 4
"1924" 34 36 2 2 1 1 4
"1925" 35 36 4 4 3 3 4
"1926" 36 36 NA NA NA NA 4
"1927" 37 36 5 5 5 5 4
"1928" 38 36 2 2 2 2 4
"1929" 39 36 3 2 2 2 4
"1930" 40 36 2 2 3 3 4
"1975" 31 37 2 1 1 1 4
"1976" 32 37 4 3 2 2 4
"1977" 33 37 3 3 3 3 4
"1978" 34 37 2 2 1 1 4
"1979" 35 37 4 4 3 3 4
"1980" 36 37 5 5 4 4 4
"1981" 37 37 NA NA NA NA 4
"1982" 38 37 3 3 3 3 4
"1983" 39 37 4 3 3 3 4
"1984" 40 37 3 3 3 3 4
"2029" 31 38 2 1 3 4 4
"2030" 32 38 2 0 1 0 4
"2031" 33 38 3 3 3 3 4
"2032" 34 38 3 3 3 3 4
"2033" 35 38 1 1 1 1 4
"2034" 36 38 2 1 2 2 4
"2035" 37 38 4 4 3 3 4
"2036" 38 38 NA NA NA NA 4
"2037" 39 38 3 3 3 3 4
"2038" 40 38 4 4 4 4 4
"2083" 31 39 3 4 4 3 4
"2084" 32 39 3 3 3 3 4
"2085" 33 39 3 3 3 3 4
"2086" 34 39 4 4 3 3 4
"2087" 35 39 4 4 3 3 4
"2088" 36 39 3 2 3 2 4
"2089" 37 39 1 1 1 1 4
"2090" 38 39 3 3 3 3 4
"2091" 39 39 NA NA NA NA 4
"2092" 40 39 5 5 5 5 4
"2137" 31 40 2 1 3 2 4
"2138" 32 40 3 3 2 2 4
"2139" 33 40 4 3 3 3 4
"2140" 34 40 3 3 3 3 4
"2141" 35 40 3 3 3 3 4
"2142" 36 40 4 4 3 2 4
"2143" 37 40 2 2 2 2 4
"2144" 38 40 3 3 3 3 4
"2145" 39 40 4 3 3 3 4
"2146" 40 40 NA NA NA NA 4
"2201" 41 41 NA NA NA NA 5
"2202" 42 41 4 3 3 3 5
"2203" 43 41 3 3 3 3 5
"2204" 44 41 4 5 4 3 5
"2205" 45 41 5 5 3 3 5
"2206" 46 41 4 4 3 3 5
"2207" 47 41 3 2 3 2 5
"2208" 48 41 3 3 3 3 5
"2209" 49 41 3 2 3 3 5
"2210" 50 41 4 4 3 3 5
"2255" 41 42 3 3 3 3 5
"2256" 42 42 NA NA NA NA 5
"2257" 43 42 3 3 3 3 5
"2258" 44 42 4 3 3 3 5
"2259" 45 42 3 3 3 3 5
"2260" 46 42 3 3 3 3 5
"2261" 47 42 3 2 3 2 5
"2262" 48 42 3 3 3 3 5
"2263" 49 42 3 3 3 3 5
"2264" 50 42 3 2 2 3 5
"2309" 41 43 3 3 3 3 5
"2310" 42 43 4 2 3 2 5
"2311" 43 43 NA NA NA NA 5
"2312" 44 43 3 3 3 3 5
"2313" 45 43 3 3 3 3 5
"2314" 46 43 3 3 3 3 5
"2315" 47 43 4 2 2 2 5
"2316" 48 43 3 3 3 3 5
"2317" 49 43 3 2 3 2 5
"2318" 50 43 3 1 2 0 5
"2363" 41 44 3 3 3 3 5
"2364" 42 44 3 2 2 2 5
"2365" 43 44 4 4 4 4 5
"2366" 44 44 NA NA NA NA 5
"2367" 45 44 4 4 3 3 5
"2368" 46 44 5 5 3 3 5
"2369" 47 44 4 2 3 2 5
"2370" 48 44 3 3 3 3 5
"2371" 49 44 3 3 3 2 5
"2372" 50 44 4 4 3 3 5
"2417" 41 45 3 3 3 3 5
"2418" 42 45 3 2 3 3 5
"2419" 43 45 2 2 2 2 5
"2420" 44 45 4 4 3 3 5
"2421" 45 45 NA NA NA NA 5
"2422" 46 45 5 5 4 4 5
"2423" 47 45 4 3 3 2 5
"2424" 48 45 3 3 3 3 5
"2425" 49 45 2 2 2 2 5
"2426" 50 45 4 4 3 3 5
"2471" 41 46 4 3 3 3 5
"2472" 42 46 1 1 1 1 5
"2473" 43 46 4 4 4 4 5
"2474" 44 46 3 3 3 3 5
"2475" 45 46 5 5 4 3 5
"2476" 46 46 NA NA NA NA 5
"2477" 47 46 4 3 3 3 5
"2478" 48 46 3 3 3 3 5
"2479" 49 46 2 2 2 2 5
"2480" 50 46 3 4 3 3 5
"2525" 41 47 3 3 3 3 5
"2526" 42 47 4 3 3 3 5
"2527" 43 47 4 4 4 4 5
"2528" 44 47 3 2 3 3 5
"2529" 45 47 4 4 3 3 5
"2530" 46 47 4 4 3 3 5
"2531" 47 47 NA NA NA NA 5
"2532" 48 47 3 3 3 3 5
"2533" 49 47 3 2 3 2 5
"2534" 50 47 3 4 3 3 5
"2579" 41 48 4 3 3 3 5
"2580" 42 48 3 2 2 2 5
"2581" 43 48 3 3 3 3 5
"2582" 44 48 4 4 3 3 5
"2583" 45 48 5 5 3 4 5
"2584" 46 48 4 4 3 3 5
"2585" 47 48 4 4 3 3 5
"2586" 48 48 NA NA NA NA 5
"2587" 49 48 3 3 3 3 5
"2588" 50 48 4 4 3 3 5
"2633" 41 49 4 3 3 3 5
"2634" 42 49 3 0 1 1 5
"2635" 43 49 2 2 2 2 5
"2636" 44 49 3 2 3 2 5
"2637" 45 49 5 5 3 4 5
"2638" 46 49 5 5 3 3 5
"2639" 47 49 4 4 3 3 5
"2640" 48 49 4 4 4 4 5
"2641" 49 49 NA NA NA NA 5
"2642" 50 49 5 5 3 3 5
"2687" 41 50 4 3 3 3 5
"2688" 42 50 3 4 3 3 5
"2689" 43 50 3 3 3 3 5
"2690" 44 50 4 4 4 3 5
"2691" 45 50 4 4 3 3 5
"2692" 46 50 4 4 3 3 5
"2693" 47 50 4 4 3 2 5
"2694" 48 50 4 4 4 4 5
"2695" 49 50 3 3 2 2 5
"2696" 50 50 NA NA NA NA 5
