"perceiver.id" "target.id" "liking_a" "liking_b" "metaliking_a" "metaliking_b"
"115" 7 3 4 3 3 3
"116" 8 3 4 4 3 3
"117" 9 3 4 4 4 3
"118" 10 3 3 2 2 2
"119" 11 3 3 2 2 2
"120" 12 3 4 3 4 3
"121" 13 3 3 3 4 3
"122" 14 3 3 2 3 2
"123" 15 3 4 4 3 3
"124" 16 3 2 2 2 2
"125" 17 3 3 3 2 3
"126" 18 3 5 4 4 3
"127" 19 3 2 2 2 2
"128" 20 3 4 4 4 3
"129" 21 3 3 4 2 2
"130" 22 3 4 4 3 3
"131" 23 3 5 4 3 3
"132" 24 3 3 3 3 2
"133" 25 3 3 2 1 0
"134" 26 3 5 4 3 3
"135" 27 3 4 4 3 2
"136" 28 3 4 4 3 3
"137" 29 3 3 4 3 3
"138" 30 3 4 4 3 3
"139" 31 3 3 3 3 4
"140" 32 3 3 2 3 2
"141" 33 3 4 4 4 4
"142" 34 3 4 4 4 4
"143" 35 3 4 3 3 3
"144" 36 3 3 2 3 2
"145" 37 3 4 3 4 3
"146" 38 3 3 3 3 3
"147" 39 3 4 4 3 3
"148" 40 3 4 4 3 3
"149" 41 3 3 3 3 3
"150" 42 3 3 1 2 1
"151" 43 3 4 4 4 4
"152" 44 3 3 3 3 3
"153" 45 3 3 3 2 3
"154" 46 3 5 4 3 3
"155" 47 3 3 3 2 2
"156" 48 3 3 3 2 1
"157" 49 3 3 3 3 3
"158" 50 3 4 3 3 3
"159" 51 3 3 3 3 3
"160" 52 3 5 3 4 4
"161" 53 3 3 2 0 0
"162" 54 3 4 3 3 2
"163" 1 4 2 2 3 2
"164" 2 4 4 4 2 2
"165" 3 4 3 2 3 2
"166" 4 4 NA NA NA NA
"167" 5 4 4 4 3 3
"168" 6 4 3 4 2 2
"169" 7 4 3 2 1 1
"170" 8 4 4 4 3 3
"171" 9 4 4 4 4 3
"172" 10 4 3 2 2 1
"173" 11 4 3 3 2 2
"174" 12 4 3 3 3 3
"175" 13 4 3 4 4 4
"176" 14 4 4 4 3 3
"177" 15 4 4 3 3 3
"178" 16 4 4 3 2 1
"179" 17 4 4 4 3 3
"180" 18 4 5 4 3 4
"181" 19 4 3 3 2 2
"182" 20 4 4 3 3 3
"183" 21 4 3 3 3 3
"184" 22 4 3 3 3 3
"185" 23 4 5 4 3 4
"186" 24 4 4 4 3 3
"187" 25 4 3 2 2 2
"188" 26 4 4 2 2 2
"189" 27 4 3 3 2 2
"190" 28 4 4 3 3 3
"191" 29 4 3 2 3 2
"192" 30 4 3 3 4 4
"193" 31 4 2 2 3 2
"194" 32 4 4 3 2 2
"195" 33 4 4 4 3 3
"196" 34 4 3 3 2 2
"197" 35 4 4 3 3 3
"198" 36 4 4 3 3 3
"199" 37 4 4 4 3 3
"200" 38 4 4 4 4 4
"201" 39 4 3 2 2 2
"202" 40 4 2 2 3 3
"203" 41 4 4 3 3 4
"204" 42 4 3 1 2 2
"205" 43 4 4 4 4 4
"206" 44 4 4 4 3 4
"207" 45 4 2 2 2 2
"208" 46 4 5 5 3 3
"209" 47 4 4 1 2 2
"210" 48 4 5 5 3 3
"211" 49 4 3 3 2 2
"212" 50 4 4 3 1 1
"213" 51 4 4 3 3 3
"214" 52 4 4 4 4 3
"215" 53 4 5 4 2 1
"216" 54 4 4 3 2 2
"217" 1 5 2 2 2 3
"218" 2 5 3 3 1 2
"219" 3 5 3 2 3 2
"220" 4 5 4 4 4 4
"221" 5 5 NA NA NA NA
"222" 6 5 4 4 3 3
"223" 7 5 4 1 3 3
"224" 8 5 4 4 3 3
"225" 9 5 2 2 4 3
"226" 10 5 3 2 3 3
"227" 11 5 4 3 2 2
"228" 12 5 4 4 3 2
"229" 13 5 3 3 4 4
"230" 14 5 4 4 1 1
"231" 15 5 3 1 1 1
"232" 16 5 5 4 3 3
"233" 17 5 4 3 3 3
"234" 18 5 5 5 4 3
"235" 19 5 3 2 2 2
"236" 20 5 4 3 3 3
"237" 21 5 3 3 3 3
"238" 22 5 4 3 2 2
"239" 23 5 4 3 1 2
"240" 24 5 4 3 3 3
"241" 25 5 3 2 3 1
"242" 26 5 3 3 3 3
"243" 27 5 2 2 2 2
"244" 28 5 2 1 2 2
"245" 29 5 2 2 1 1
"246" 30 5 2 2 3 3
"247" 31 5 3 2 3 2
"248" 32 5 2 0 2 0
"249" 33 5 4 3 3 3
"250" 34 5 3 2 2 2
"251" 35 5 2 2 2 2
"252" 36 5 1 0 1 1
"253" 37 5 1 1 1 1
"254" 38 5 4 4 4 4
"255" 39 5 3 2 3 3
"256" 40 5 3 3 3 3
"257" 41 5 4 3 3 4
"258" 42 5 2 2 1 1
"259" 43 5 3 3 3 3
"260" 44 5 3 3 2 3
"261" 45 5 2 2 2 1
"262" 46 5 4 4 4 3
"263" 47 5 4 1 3 1
"264" 48 5 3 1 3 3
"265" 49 5 3 2 2 2
"266" 50 5 3 1 1 1
"267" 51 5 3 2 3 2
"268" 52 5 3 1 2 2
"269" 53 5 5 3 2 2
"270" 54 5 4 3 3 3
"271" 1 6 4 4 3 3
"272" 2 6 4 4 1 1
"273" 3 6 3 3 3 3
"274" 4 6 2 2 2 2
"275" 5 6 4 4 2 2
"276" 6 6 NA NA NA NA
"277" 7 6 5 5 5 5
"278" 8 6 5 5 4 4
"279" 9 6 4 4 4 3
"280" 10 6 4 4 3 3
"281" 11 6 3 2 2 2
"282" 12 6 4 3 3 3
"283" 13 6 5 4 4 4
"284" 14 6 3 3 3 3
"285" 15 6 4 3 3 3
"286" 16 6 5 5 4 4
"287" 17 6 4 4 3 2
"288" 18 6 4 4 5 3
"289" 19 6 2 1 2 2
"290" 20 6 4 4 4 3
"291" 21 6 4 4 3 3
"292" 22 6 4 4 3 3
"293" 23 6 5 5 3 4
"294" 24 6 1 1 1 2
"295" 25 6 2 2 2 1
"296" 26 6 5 4 3 3
"297" 27 6 4 4 3 3
"298" 28 6 4 4 4 3
"299" 29 6 4 3 3 3
"300" 30 6 4 4 3 3
"301" 31 6 5 5 4 3
"302" 32 6 4 3 3 2
"303" 33 6 3 3 3 3
"304" 34 6 4 4 4 4
"305" 35 6 2 2 3 3
"306" 36 6 0 0 0 0
"307" 37 6 0 0 0 0
"308" 38 6 4 4 4 3
"309" 39 6 5 4 3 3
"310" 40 6 3 3 3 3
"311" 41 6 3 3 3 3
"312" 42 6 4 4 3 3
"313" 43 6 3 3 3 3
"314" 44 6 4 4 4 4
"315" 45 6 3 3 3 3
"316" 46 6 3 3 3 2
"317" 47 6 3 3 3 2
"318" 48 6 3 2 2 2
"319" 49 6 4 3 3 3
"320" 50 6 4 3 3 3
"321" 51 6 3 2 3 2
"322" 52 6 4 4 3 3
"323" 53 6 5 3 1 0
"324" 54 6 4 4 3 3
"325" 1 7 3 3 4 2
"326" 2 7 3 2 2 2
"327" 3 7 4 3 2 2
"328" 4 7 1 2 2 2
"329" 5 7 3 2 1 1
"330" 6 7 5 5 4 3
"331" 7 7 NA NA NA NA
"332" 8 7 5 5 4 4
"333" 9 7 4 4 4 3
"334" 10 7 4 3 2 2
"335" 11 7 3 2 3 2
"336" 12 7 4 4 3 3
"337" 13 7 5 4 3 3
"338" 14 7 5 4 3 3
"339" 15 7 4 4 3 3
"340" 16 7 5 5 5 5
"341" 17 7 3 3 3 2
"342" 18 7 3 4 4 3
"343" 19 7 3 3 2 2
"344" 20 7 4 4 4 3
"345" 21 7 2 2 2 2
"346" 22 7 2 2 3 3
"347" 23 7 3 2 3 3
"348" 24 7 2 2 3 3
"349" 25 7 3 1 2 1
"350" 26 7 2 3 3 2
"351" 27 7 4 4 3 3
"352" 28 7 4 4 4 4
"353" 29 7 3 3 3 3
"354" 30 7 3 3 2 2
"355" 31 7 5 5 4 4
"356" 32 7 4 4 3 3
"357" 33 7 3 3 3 3
"358" 34 7 3 4 3 3
"359" 35 7 2 2 3 3
"360" 36 7 3 2 3 1
"361" 37 7 1 1 0 0
"362" 38 7 2 2 2 2
"363" 39 7 5 4 3 3
"364" 40 7 3 3 3 3
"365" 41 7 3 3 4 3
"366" 42 7 3 3 4 4
"367" 43 7 3 3 3 3
"368" 44 7 3 2 2 3
"369" 45 7 4 4 3 3
"370" 46 7 3 2 2 2
"371" 47 7 3 3 3 3
"372" 48 7 2 1 2 2
"373" 49 7 3 3 3 3
"374" 50 7 5 5 4 3
"375" 51 7 3 2 2 2
"376" 52 7 4 3 3 3
"377" 53 7 3 3 1 1
"378" 54 7 4 4 3 3
"379" 1 8 3 3 2 3
"380" 2 8 2 2 2 2
"381" 3 8 3 2 2 2
"382" 4 8 2 2 3 2
"383" 5 8 2 1 1 1
"384" 6 8 5 5 4 3
"385" 7 8 5 5 4 4
"386" 8 8 NA NA NA NA
"387" 9 8 4 4 3 3
"388" 10 8 4 3 3 3
"389" 11 8 3 3 2 2
"390" 12 8 3 3 3 3
"391" 13 8 5 4 4 4
"392" 14 8 3 2 3 3
"393" 15 8 3 2 2 2
"394" 16 8 4 3 3 3
"395" 17 8 1 2 2 3
"396" 18 8 5 4 3 5
"397" 19 8 2 2 2 2
"398" 20 8 4 4 4 3
"399" 21 8 3 3 3 3
"400" 22 8 2 2 3 3
"401" 23 8 4 4 4 3
"402" 24 8 2 2 2 2
"403" 25 8 3 2 3 2
"404" 26 8 2 3 3 2
"405" 27 8 3 3 3 3
"406" 28 8 3 3 3 2
"407" 29 8 3 3 3 3
"408" 30 8 4 4 3 3
"409" 31 8 4 3 3 2
"410" 32 8 2 0 3 1
"411" 33 8 4 4 4 4
"412" 34 8 2 2 1 1
"413" 35 8 4 4 3 3
"414" 36 8 3 3 3 3
"415" 37 8 3 3 3 3
"416" 38 8 2 2 2 2
"417" 39 8 3 2 3 3
"418" 40 8 2 2 3 3
"419" 41 8 2 3 3 2
"420" 42 8 2 1 3 2
"421" 43 8 2 2 2 2
"422" 44 8 4 4 3 4
"423" 45 8 3 3 3 3
"424" 46 8 5 5 3 5
"425" 47 8 3 2 2 2
"426" 48 8 3 2 2 2
"427" 49 8 3 3 3 3
"428" 50 8 3 3 2 2
"429" 51 8 2 1 3 2
"430" 52 8 2 2 3 2
"431" 53 8 3 2 2 2
"432" 54 8 3 3 3 2
"433" 1 9 2 2 2 2
"434" 2 9 2 2 1 1
"435" 3 9 2 2 3 1
"436" 4 9 3 3 3 3
"437" 5 9 3 3 2 2
"438" 6 9 3 4 3 3
"439" 7 9 4 4 3 3
"440" 8 9 4 4 3 3
"441" 9 9 NA NA NA NA
"442" 10 9 2 2 2 1
"443" 11 9 1 1 2 1
"444" 12 9 3 4 3 3
"445" 13 9 4 3 4 3
"446" 14 9 3 3 3 3
"447" 15 9 3 1 1 1
"448" 16 9 3 2 3 2
"449" 17 9 3 3 2 3
"450" 18 9 2 0 3 0
"451" 19 9 2 2 2 2
"452" 20 9 3 3 3 3
"453" 21 9 3 3 2 2
"454" 22 9 2 2 3 3
"455" 23 9 3 3 1 0
"456" 24 9 1 1 3 2
"457" 25 9 1 1 2 0
"458" 26 9 3 2 3 3
"459" 27 9 4 3 3 3
"460" 28 9 4 4 4 2
"461" 29 9 3 3 3 3
"462" 30 9 1 1 3 3
"463" 31 9 0 0 1 1
"464" 32 9 3 3 3 3
"465" 33 9 3 3 3 3
"466" 34 9 3 3 2 2
"467" 35 9 4 4 3 3
"468" 36 9 2 1 2 2
"469" 37 9 3 3 3 3
"470" 38 9 2 2 3 3
"471" 39 9 4 2 3 3
"472" 40 9 4 4 4 4
"473" 41 9 3 3 2 2
"474" 42 9 1 0 2 3
"475" 43 9 4 4 3 3
"476" 44 9 4 3 3 4
"477" 45 9 2 2 2 2
"478" 46 9 3 2 2 2
"479" 47 9 2 2 3 3
"480" 48 9 3 1 2 2
"481" 49 9 2 1 2 2
"482" 50 9 3 3 3 3
"483" 51 9 3 2 3 3
"484" 52 9 4 4 4 3
"485" 53 9 5 4 2 2
"486" 54 9 3 2 2 2
"487" 1 10 3 2 2 3
"488" 2 10 3 4 2 2
"489" 3 10 3 3 3 3
"490" 4 10 2 2 2 2
"491" 5 10 3 3 2 2
"492" 6 10 4 4 3 4
"493" 7 10 3 3 2 2
"494" 8 10 5 5 3 3
"495" 9 10 2 3 2 2
"496" 10 10 NA NA NA NA
"497" 11 10 4 4 3 3
"498" 12 10 4 4 3 3
"499" 13 10 3 3 4 3
"500" 14 10 3 3 3 3
"501" 15 10 4 4 4 4
"502" 16 10 4 3 3 3
"503" 17 10 3 3 3 3
"504" 18 10 4 5 4 4
"505" 19 10 2 2 2 2
"506" 20 10 4 4 4 3
"507" 21 10 3 3 3 3
"508" 22 10 4 4 3 3
"509" 23 10 3 3 3 4
"510" 24 10 4 3 3 2
"511" 25 10 3 4 5 4
"512" 26 10 2 2 3 3
"513" 27 10 4 4 3 4
"514" 28 10 4 3 3 3
"515" 29 10 3 2 2 2
"516" 30 10 3 4 3 3
"517" 31 10 4 4 4 4
"518" 32 10 2 2 2 2
"519" 33 10 4 3 3 3
"520" 34 10 3 3 3 3
"521" 35 10 3 3 3 3
"522" 36 10 2 1 2 1
"523" 37 10 2 2 1 1
"524" 38 10 3 3 3 3
"525" 39 10 3 3 3 3
"526" 40 10 4 4 4 3
"527" 41 10 3 3 3 3
"528" 42 10 2 3 2 2
"529" 43 10 3 3 3 3
"530" 44 10 4 4 4 3
"531" 45 10 3 4 3 3
"532" 46 10 5 5 3 3
"533" 47 10 4 3 3 3
"534" 48 10 4 4 3 3
"535" 49 10 3 3 3 3
"536" 50 10 3 2 2 2
"537" 51 10 2 1 2 2
"538" 52 10 3 2 3 3
"539" 53 10 5 5 3 2
"540" 54 10 3 3 2 2
"541" 1 11 3 2 2 3
"542" 2 11 2 2 2 2
"543" 3 11 2 2 2 3
"544" 4 11 2 1 3 2
"545" 5 11 4 4 3 2
"546" 6 11 5 4 3 3
"547" 7 11 3 3 3 3
"548" 8 11 4 4 3 3
"549" 9 11 3 3 3 3
"550" 10 11 4 4 3 3
"551" 11 11 NA NA NA NA
"552" 12 11 5 4 4 3
"553" 13 11 4 3 4 3
"554" 14 11 3 3 3 2
"555" 15 11 3 4 2 2
"556" 16 11 4 4 4 4
"557" 17 11 4 3 3 2
"558" 18 11 3 2 1 2
"559" 19 11 2 2 2 2
"560" 20 11 4 4 4 3
"561" 21 11 3 3 3 3
"562" 22 11 3 3 2 2
"563" 23 11 5 3 4 4
"564" 24 11 3 3 3 3
"565" 25 11 2 1 1 1
"566" 26 11 3 2 2 2
"567" 27 11 4 3 3 3
"568" 28 11 4 4 4 4
"569" 29 11 2 2 1 2
"570" 30 11 3 3 4 3
"571" 31 11 3 3 3 4
"572" 32 11 3 3 3 3
"573" 33 11 4 3 3 3
"574" 34 11 3 3 3 3
"575" 35 11 3 3 3 3
"576" 36 11 1 1 1 1
"577" 37 11 1 1 1 1
"578" 38 11 4 4 4 4
"579" 39 11 3 3 3 3
"580" 40 11 2 2 2 2
"581" 41 11 4 3 3 3
"582" 42 11 3 3 3 3
"583" 43 11 4 4 4 4
"584" 44 11 3 3 2 2
"585" 45 11 3 2 3 3
"586" 46 11 4 4 3 3
"587" 47 11 3 3 3 3
"588" 48 11 3 2 2 2
"589" 49 11 3 2 3 2
"590" 50 11 3 3 2 2
"591" 51 11 2 2 2 2
"592" 52 11 4 4 3 3
"593" 53 11 3 3 2 1
"594" 54 11 4 3 3 3
"595" 1 12 2 1 2 2
"596" 2 12 3 3 2 2
"597" 3 12 3 3 2 2
"598" 4 12 4 4 3 4
"599" 5 12 3 2 1 1
"600" 6 12 4 3 3 3
"601" 7 12 3 3 3 2
"602" 8 12 4 4 3 3
"603" 9 12 3 3 3 3
"604" 10 12 3 3 3 3
"605" 11 12 4 3 2 2
"606" 12 12 NA NA NA NA
"607" 13 12 3 3 4 3
"608" 14 12 3 3 3 3
"609" 15 12 3 3 2 2
"610" 16 12 2 2 2 2
"611" 17 12 4 3 3 3
"612" 18 12 2 0 3 1
"613" 19 12 1 1 2 2
"614" 20 12 3 4 3 3
"615" 21 12 2 2 2 2
"616" 22 12 2 2 3 3
"617" 23 12 1 0 2 2
"618" 24 12 3 3 3 2
"619" 25 12 3 2 3 1
"620" 26 12 2 2 2 2
"621" 27 12 3 2 2 2
"622" 28 12 3 3 2 2
"623" 29 12 4 4 3 4
"624" 30 12 3 3 4 4
"625" 31 12 2 2 3 3
"626" 32 12 1 0 2 2
"627" 33 12 4 3 3 3
"628" 34 12 3 3 3 3
"629" 35 12 2 2 3 3
"630" 36 12 1 1 1 1
"631" 37 12 0 0 0 0
"632" 38 12 2 2 3 2
"633" 39 12 4 3 3 3
"634" 40 12 2 2 3 3
"635" 41 12 3 2 2 3
"636" 42 12 3 2 3 3
"637" 43 12 2 3 2 2
"638" 44 12 2 2 2 3
"639" 45 12 4 4 3 3
"640" 46 12 4 4 3 3
"641" 47 12 4 3 3 3
"642" 48 12 5 4 3 3
"643" 49 12 3 3 2 2
"644" 50 12 3 2 2 2
"645" 51 12 2 2 3 3
"646" 52 12 2 2 3 3
"647" 53 12 3 4 1 1
"648" 54 12 3 2 2 2
"649" 1 13 2 2 3 2
"650" 2 13 3 2 2 2
"651" 3 13 1 1 2 1
"652" 4 13 2 2 3 3
"653" 5 13 2 2 2 2
"654" 6 13 4 3 3 3
"655" 7 13 3 3 1 1
"656" 8 13 3 3 3 3
"657" 9 13 3 3 2 2
"658" 10 13 2 2 2 2
"659" 11 13 2 1 1 1
"660" 12 13 3 3 3 2
"661" 13 13 NA NA NA NA
"662" 14 13 4 4 3 2
"663" 15 13 3 2 2 1
"664" 16 13 2 2 2 2
"665" 17 13 4 4 3 2
"666" 18 13 4 5 3 3
"667" 19 13 2 2 2 2
"668" 20 13 4 4 3 3
"669" 21 13 2 2 2 2
"670" 22 13 3 3 4 4
"671" 23 13 0 0 1 0
"672" 24 13 3 3 3 3
"673" 25 13 2 2 2 2
"674" 26 13 4 3 4 4
"675" 27 13 5 5 3 3
"676" 28 13 2 4 3 2
"677" 29 13 3 2 2 2
"678" 30 13 1 1 2 2
"679" 31 13 3 3 3 3
"680" 32 13 3 0 2 1
"681" 33 13 3 3 3 3
"682" 34 13 3 3 2 2
"683" 35 13 3 3 3 3
"684" 36 13 4 3 3 2
"685" 37 13 0 0 0 0
"686" 38 13 2 2 3 3
"687" 39 13 3 3 3 3
"688" 40 13 3 3 3 4
"689" 41 13 4 3 3 3
"690" 42 13 2 2 2 2
"691" 43 13 3 4 3 3
"692" 44 13 3 2 2 2
"693" 45 13 3 4 3 1
"694" 46 13 4 4 3 3
"695" 47 13 3 2 3 2
"696" 48 13 3 3 3 3
"697" 49 13 3 3 3 3
"698" 50 13 3 2 3 3
"699" 51 13 3 2 2 2
"700" 52 13 3 2 3 3
"701" 53 13 4 4 2 2
"702" 54 13 4 4 3 3
"703" 1 14 3 3 3 3
"704" 2 14 3 3 3 2
"705" 3 14 4 3 5 3
"706" 4 14 3 3 3 3
"707" 5 14 4 3 1 1
"708" 6 14 5 5 4 3
"709" 7 14 4 4 4 4
"710" 8 14 5 5 3 3
"711" 9 14 5 5 4 4
"712" 10 14 3 3 3 2
"713" 11 14 3 3 2 2
"714" 12 14 5 4 4 3
"715" 13 14 5 4 5 5
"716" 14 14 NA NA NA NA
"717" 15 14 4 3 3 3
"718" 16 14 1 1 1 1
"719" 17 14 3 3 2 3
"720" 18 14 4 4 4 3
"721" 19 14 2 2 2 2
"722" 20 14 4 4 4 4
"723" 21 14 2 2 3 2
"724" 22 14 4 4 4 4
"725" 23 14 5 5 5 4
"726" 24 14 3 2 2 3
"727" 25 14 3 3 3 2
"728" 26 14 4 3 3 3
"729" 27 14 4 4 3 3
"730" 28 14 5 4 4 4
"731" 29 14 3 2 1 1
"732" 30 14 4 4 4 4
"733" 31 14 5 5 4 4
"734" 32 14 3 3 3 3
"735" 33 14 4 3 3 3
"736" 34 14 4 4 4 4
"737" 35 14 4 4 4 4
"738" 36 14 2 1 2 1
"739" 37 14 4 3 3 2
"740" 38 14 3 3 3 3
"741" 39 14 4 3 3 3
"742" 40 14 4 4 4 4
"743" 41 14 3 3 3 3
"744" 42 14 3 2 3 2
"745" 43 14 3 3 3 3
"746" 44 14 3 3 4 4
"747" 45 14 4 4 3 3
"748" 46 14 3 3 3 2
"749" 47 14 4 3 3 3
"750" 48 14 4 4 3 3
"751" 49 14 4 3 3 3
"752" 50 14 3 3 3 2
"753" 51 14 3 1 3 3
"754" 52 14 4 3 3 3
"755" 53 14 5 5 3 2
"756" 54 14 4 3 3 3
"757" 1 15 2 3 3 2
"758" 2 15 4 4 2 2
"759" 3 15 2 2 2 2
"760" 4 15 2 2 3 3
"761" 5 15 3 2 1 1
"762" 6 15 4 5 4 4
"763" 7 15 3 3 0 3
"764" 8 15 3 3 3 3
"765" 9 15 1 1 2 1
"766" 10 15 3 4 3 3
"767" 11 15 3 3 2 3
"768" 12 15 4 4 4 3
"769" 13 15 3 3 4 3
"770" 14 15 4 4 3 3
"771" 15 15 NA NA NA NA
"772" 16 15 4 4 4 4
"773" 17 15 3 4 3 3
"774" 18 15 3 2 2 3
"775" 19 15 2 2 2 2
"776" 20 15 4 4 4 3
"777" 21 15 3 3 3 3
"778" 22 15 3 2 3 3
"779" 23 15 0 0 2 2
"780" 24 15 4 5 3 3
"781" 25 15 1 1 2 1
"782" 26 15 3 3 3 3
"783" 27 15 4 3 3 3
"784" 28 15 5 5 4 4
"785" 29 15 3 3 1 2
"786" 30 15 2 2 3 3
"787" 31 15 3 3 3 3
"788" 32 15 4 4 3 2
"789" 33 15 3 3 3 3
"790" 34 15 3 3 2 2
"791" 35 15 1 1 2 2
"792" 36 15 3 1 2 1
"793" 37 15 0 1 1 1
"794" 38 15 2 2 2 1
"795" 39 15 3 3 3 3
"796" 40 15 3 3 3 4
"797" 41 15 3 3 3 3
"798" 42 15 2 0 2 1
"799" 43 15 3 3 3 3
"800" 44 15 2 2 2 2
"801" 45 15 3 3 3 3
"802" 46 15 2 2 2 2
"803" 47 15 3 2 3 3
"804" 48 15 2 2 2 2
"805" 49 15 3 3 3 3
"806" 50 15 2 2 2 3
"807" 51 15 2 1 3 2
"808" 52 15 1 1 1 2
"809" 53 15 3 2 1 0
"810" 54 15 3 3 3 3
"811" 1 16 3 3 2 2
"812" 2 16 3 3 3 3
"813" 3 16 4 3 3 3
"814" 4 16 3 2 3 3
"815" 5 16 4 3 3 1
"816" 6 16 5 4 4 4
"817" 7 16 5 5 4 5
"818" 8 16 4 4 3 3
"819" 9 16 4 5 3 4
"820" 10 16 3 3 2 2
"821" 11 16 3 2 2 3
"822" 12 16 3 3 4 3
"823" 13 16 5 4 4 4
"824" 14 16 5 5 4 4
"825" 15 16 4 4 4 4
"826" 16 16 NA NA NA NA
"827" 17 16 4 4 3 3
"828" 18 16 5 5 4 3
"829" 19 16 3 3 2 2
"830" 20 16 4 4 4 3
"831" 21 16 2 2 1 1
"832" 22 16 4 3 3 3
"833" 23 16 2 2 2 1
"834" 24 16 4 3 4 3
"835" 25 16 4 3 3 3
"836" 26 16 2 2 3 3
"837" 27 16 3 2 3 2
"838" 28 16 4 4 3 4
"839" 29 16 4 4 3 2
"840" 30 16 4 3 3 3
"841" 31 16 4 4 4 4
"842" 32 16 4 2 2 1
"843" 33 16 3 3 3 3
"844" 34 16 2 2 2 2
"845" 35 16 2 3 3 3
"846" 36 16 0 0 1 0
"847" 37 16 0 0 0 0
"848" 38 16 3 3 3 2
"849" 39 16 4 4 4 4
"850" 40 16 1 1 3 3
"851" 41 16 4 3 3 3
"852" 42 16 3 2 2 2
"853" 43 16 3 3 3 3
"854" 44 16 1 1 2 1
"855" 45 16 4 4 3 3
"856" 46 16 4 3 3 2
"857" 47 16 4 3 3 3
"858" 48 16 4 4 3 3
"859" 49 16 3 3 3 3
"860" 50 16 4 4 3 2
"861" 51 16 2 2 2 2
"862" 52 16 3 1 3 3
"863" 53 16 3 2 1 1
"864" 54 16 4 4 3 3
"865" 1 17 2 2 2 2
"866" 2 17 2 2 2 2
"867" 3 17 0 0 2 2
"868" 4 17 2 3 3 3
